mean,std,var,rms,delta,theta,alpha,beta,gamma
1.0864045072042957e-07,4.930811495870117e-05,2.4312902007804902e-09,4.930823464217739e-05,4.176645239811594e-10,6.549992589672031e-11,3.215707919772848e-11,1.0274493426466446e-11,3.230910358715213e-12
2.636955319727776e-07,4.930658931094012e-05,2.4311397494777147e-09,4.930729443815892e-05,3.9932376894806166e-10,7.453034690886467e-11,4.15928076942851e-11,1.1351398509802687e-11,2.76474753496864e-12
1.2761251940298315e-07,5.009143575542397e-05,2.509151936039767e-09,5.0091598307449474e-05,4.153193029075593e-10,8.203929566743496e-11,3.995256909084353e-11,1.1175875952669604e-11,2.529150357975445e-12
2.4954183456897388e-09,5.021597679515512e-05,2.521644325491558e-09,5.021597685715842e-05,4.131150616586977e-10,8.610352676652225e-11,3.870114358554203e-11,1.1127320005572117e-11,2.4939606302583318e-12
2.8557917819424687e-07,4.852929390998323e-05,2.3550923674015353e-09,4.853013417319752e-05,3.9229993691758147e-10,7.506185631456927e-11,3.6343491234220365e-11,9.999726587802836e-12,2.3176050631659348e-12
4.50645360939214e-07,4.432871871183511e-05,1.965035302633e-09,4.433100928102513e-05,3.3406248462991566e-10,5.47865600858861e-11,3.2678518677476206e-11,8.415139837975594e-12,2.1364227585612986e-12
4.773381395297859e-07,3.9013969613461326e-05,1.5220898250000836e-09,3.901688963384361e-05,2.7017964543190477e-10,3.491444554301049e-11,2.026951573365447e-11,6.5586070747520106e-12,2.6370802093869385e-12
2.4388302016764924e-07,4.3882558528544416e-05,1.925678943011126e-09,4.38832362290961e-05,2.96918715053338e-10,6.246225384967406e-11,3.5385635708324795e-11,1.103065117752468e-11,3.5848662364966425e-12
2.5127113928269815e-07,4.5851536768556996e-05,2.102363424038334e-09,4.585222525923655e-05,3.297146360459777e-10,6.822109473022795e-11,4.2362521601464243e-11,1.0896412964961388e-11,2.6841106346252993e-12
2.0054478078373195e-07,4.710472599522386e-05,2.218855211085118e-09,4.710515289534912e-05,3.587002373366527e-10,7.554507830925358e-11,3.642567581115499e-11,1.0247383622938918e-11,2.404030117192239e-12
7.999335784860817e-08,4.789693586703524e-05,2.294116465450887e-09,4.789700266601436e-05,3.767092088685928e-10,7.88820901698927e-11,3.3751074499844377e-11,1.0063960226076855e-11,2.5813538293636006e-12
1.2091458801887786e-07,4.64773506954691e-05,2.160144127669622e-09,4.647750797974455e-05,3.575554549905547e-10,6.701041483013965e-11,3.2440454668296094e-11,9.222794742314591e-12,2.292950028922288e-12
2.9052495763284687e-07,4.046469537231714e-05,1.6373915715744242e-09,4.0465738301993604e-05,2.7052437940737093e-10,4.758456300502674e-11,2.844135116430402e-11,7.792953798563548e-12,2.113655022501189e-12
3.274308121369292e-07,3.3728978729401757e-05,1.1376440061284362e-09,3.373056799203318e-05,1.868109890355447e-10,2.9313067964824235e-11,1.7332979408423776e-11,6.593165052705963e-12,2.4788479343641148e-12
3.7066927294212407e-07,4.262587046642414e-05,1.8169648330203699e-09,4.262748208292713e-05,2.72647819076768e-10,6.217664052210022e-11,3.639761589426048e-11,1.1629870335309402e-11,3.1170222425858684e-12
3.3041041761067527e-07,4.4879531489395844e-05,2.0141723467076733e-09,4.4880747740559524e-05,3.1509077672185144e-10,6.54549643711532e-11,3.8827505199473193e-11,1.1354954107675092e-11,2.4516658178942716e-12
2.5645158782995855e-07,4.657080386388552e-05,2.168839772528495e-09,4.657150995990354e-05,3.527983511424831e-10,6.884205836048004e-11,3.643623655903513e-11,1.0834331486759397e-11,2.4109595576588934e-12
1.6276560011302373e-07,4.6928157184002287e-05,2.202251936686425e-09,4.692843945122196e-05,3.691086080067608e-10,6.69779882652958e-11,3.3732700990734935e-11,1.0208960144267603e-11,2.3823418290019967e-12
2.727645000012347e-07,4.4342817437106445e-05,1.966285458260551e-09,4.434365635277511e-05,3.2888831973803686e-10,5.872145043376625e-11,3.11872852437398e-11,9.315540520649802e-12,2.0947178279986054e-12
2.8488818271287826e-07,4.132184792432335e-05,1.707495115880906e-09,4.132282997517904e-05,2.8190771648168734e-10,5.0564853889719055e-11,2.9614068484618255e-11,8.9075285444844e-12,1.9682244505239567e-12
3.2962026221119057e-07,3.5440172903056e-05,1.256005855398505e-09,3.544170572807924e-05,2.0412816399552878e-10,3.518663819439152e-11,2.1866713675884755e-11,7.029820463660369e-12,1.80018586004111e-12
2.507320946444463e-07,9.438324261774663e-05,8.908196487040423e-09,9.438357565606269e-05,1.876372089187211e-09,1.1683553202219578e-10,2.9878601591473886e-11,9.304075354433793e-12,6.15286064113565e-12
2.5845307101839545e-07,8.394655880078653e-05,7.04702473449391e-09,8.394695666004712e-05,1.504130113361005e-09,8.627225932814976e-11,2.6764465156025478e-11,7.056417238810735e-12,2.727559100956953e-12
2.7625388108156377e-07,9.038130938102807e-05,8.168781085429111e-09,9.038173157024557e-05,1.7617418160170596e-09,8.656603668604665e-11,2.6159965552621792e-11,6.814730501635615e-12,2.8340059880068837e-12
4.769350787099508e-07,8.556035833796199e-05,7.320574918920463e-09,8.556168760601773e-05,1.5183977193682264e-09,1.10174874496237e-10,3.063503446022184e-11,1.0374403899655169e-11,4.823367432573564e-12
4.295028195608281e-07,8.360103870254002e-05,6.989133672143594e-09,8.360214198700656e-05,1.4453073889744466e-09,1.0368944888199461e-10,2.9939737960617245e-11,1.0088324492847726e-11,4.593140796453335e-12
3.537861308728587e-07,6.172188107505699e-05,3.809590603443478e-09,6.172289500720034e-05,7.336582871807087e-10,7.544753050921978e-11,3.370334291110157e-11,9.118967086884613e-12,2.3316016883458508e-12
3.674483501614251e-07,6.612386210769092e-05,4.372365140036923e-09,6.612488304962784e-05,8.962562059711896e-10,6.30783222609617e-11,2.8181543895397027e-11,7.357666336883256e-12,2.117952242938535e-12
4.2438173562707245e-07,8.249616964806042e-05,6.8056180066015635e-09,8.249726120580669e-05,1.5019091747466883e-09,7.226971000582683e-11,2.34228845806301e-11,7.088870328752999e-12,4.04909354601325e-12
5.412049909958069e-07,5.907883220858465e-05,3.4903084151300987e-09,5.9081311071881076e-05,6.631312523092743e-10,6.77341719086493e-11,2.6916919032690263e-11,9.900563428948832e-12,3.69657899628082e-12
3.737913688078679e-07,6.362632327460669e-05,4.0483090134447564e-09,6.362742123826922e-05,7.60787061020702e-10,7.959805285315114e-11,3.4614398068865516e-11,1.1902520605710144e-11,4.195237621045765e-12
3.643402878854812e-07,5.4051123791286556e-05,2.921523983100984e-09,5.405235172447505e-05,5.389802260007217e-10,6.779868455144117e-11,3.2341410871261204e-11,8.758858574472269e-12,2.0817546130259943e-12
3.6110076982048435e-07,5.5743612422172e-05,3.1073503258733287e-09,5.57447819947239e-05,5.502137050933524e-10,8.061632639348772e-11,3.8502094043470315e-11,1.1383802180851189e-11,2.604208737422389e-12
3.685580179843478e-07,5.488058711480867e-05,3.0118788420661036e-09,5.488182465150666e-05,5.35036991825269e-10,8.140721181147462e-11,3.846282749533632e-11,1.0786131980246464e-11,2.446178995851617e-12
5.192513189733054e-07,5.381496237372528e-05,2.896050175285468e-09,5.3817467398770475e-05,5.220398240231417e-10,7.092445218189277e-11,3.4959817162919864e-11,9.566679237174202e-12,2.239601841327029e-12
5.741877915585888e-07,5.205947469586432e-05,2.7101889056093373e-09,5.2062641089646156e-05,4.920023519316751e-10,6.280519018703509e-11,3.16327477711172e-11,8.515956366040322e-12,2.0274792977703853e-12
7.438922906213774e-07,5.125151861176221e-05,2.6267181600118087e-09,5.1256916955195955e-05,5.008879704945595e-10,4.916576909939987e-11,2.545539622430192e-11,7.287804606525238e-12,2.2393139476858434e-12
1.0199401884138057e-08,5.6147944912745186e-05,3.1525917179246683e-09,5.614794583911745e-05,6.572505788563822e-10,4.64969949779039e-11,1.7369875876062123e-11,5.593377198952793e-12,2.456138979068396e-12
2.915488485530471e-07,4.7454975874829516e-05,2.2519747352806513e-09,4.745587145982828e-05,3.900085800993618e-10,6.059659793103939e-11,2.7367926155290154e-11,9.956100061133038e-12,3.638839713793276e-12
5.644844822938888e-07,3.216770533281984e-05,1.0347612663791258e-09,3.217265778747346e-05,1.919216093352214e-10,2.167496171403546e-11,1.1385324302473405e-11,4.460702498363134e-12,2.1540025896341367e-12
4.6527521680574195e-07,4.240105949957425e-05,1.7978498466864358e-09,4.240361220124778e-05,2.818890289360134e-10,5.681387889389965e-11,2.7154293202289783e-11,1.0959377528489294e-11,4.684500793725374e-12
3.9254302112217026e-07,3.122138655557508e-05,9.74774978452644e-10,3.12238541579363e-05,1.2030540949590677e-10,1.7476177690638837e-11,9.620414038232565e-12,1.3716481247498818e-11,7.2195087132223644e-12
2.7530415532601686e-07,3.814012226580711e-05,1.4546689264507151e-09,3.8141115857151516e-05,2.22886402347687e-10,5.258778635378848e-11,2.6265612149253572e-11,9.794668821488378e-12,2.9757233367781683e-12
-5.796354121214248e-08,1.858585915100615e-05,3.454341603810391e-10,1.8585949535957233e-05,4.733538336367578e-11,6.251901874199079e-12,2.7421829797557603e-12,3.867181168215992e-12,2.866129662603655e-12
4.396694731646405e-07,3.921814764334958e-05,1.5380631045755662e-09,3.9220612104111775e-05,2.2616322796333201e-10,5.695465748295082e-11,2.991573658520285e-11,1.0599632740952927e-11,2.9033080213254437e-12
3.0809396396604735e-07,2.6671548156842894e-05,7.113714810827896e-10,2.6673327557195073e-05,1.1183121839135816e-10,1.970886752763639e-11,1.2036893707369224e-11,4.395174853600081e-12,1.987392997074219e-12
3.820298197325217e-07,4.0769209890164665e-05,1.6621284750683006e-09,4.0770999765169676e-05,2.308409402413036e-10,6.17038518581583e-11,3.826158684745522e-11,1.3409407213688717e-11,3.156787726985285e-12
4.124368833966292e-07,4.319247733208185e-05,1.8655900980824043e-09,4.3194446428507334e-05,2.757475063503888e-10,6.314331511775369e-11,4.133789206815301e-11,1.2841697378689167e-11,2.5768822510631564e-12
2.969502341789515e-07,4.521813122461196e-05,2.0446793914462273e-09,4.5219106259277244e-05,3.1763301923636374e-10,6.338071959339998e-11,4.2360982184371005e-11,1.2762714532387444e-11,2.4026626420456403e-12
3.1247701648303423e-07,4.6978638008090894e-05,2.206992429095242e-09,4.6979677212397615e-05,3.5054384776086923e-10,6.326981983662029e-11,4.2842188677932034e-11,1.2525251945446387e-11,2.3500234405510263e-12
3.0627186715350127e-07,4.713558160566069e-05,2.221763053303898e-09,4.713657662326049e-05,3.684781042663026e-10,6.339788488711916e-11,3.940654953430405e-11,1.1194344349551422e-11,2.1921653157899975e-12
3.004272766906845e-07,4.474989125975838e-05,2.0025527677601996e-09,4.475089970390293e-05,3.2728182505196053e-10,5.544072642750123e-11,3.879875310836387e-11,1.0992286696137308e-11,2.0840564188842994e-12
3.56239257940421e-07,4.175361073908558e-05,1.7433640097510825e-09,4.1755130417231135e-05,2.7925631162138094e-10,4.95558238128245e-11,3.492289011821769e-11,1.0216715302528916e-11,1.9993912401226976e-12
3.4463016658829763e-07,3.67425809947658e-05,1.350017258156925e-09,3.674419720321357e-05,2.1233133949808749e-10,3.919823364754463e-11,2.7990723693504567e-11,8.67935997690117e-12,1.8850780721178584e-12
2.5929553199452985e-07,3.185996718553794e-05,1.015057509063554e-09,3.1861022319386836e-05,1.567341619990704e-10,2.927842325716498e-11,2.033401401535015e-11,7.110829185866328e-12,2.073089202561729e-12
4.544639039543653e-07,4.427893995920328e-05,1.960624523910729e-09,4.428127212886647e-05,2.816563025934974e-10,6.445163832906727e-11,4.838807448192197e-11,1.5290714955781634e-11,2.905857732581077e-12
3.928664266875202e-07,4.638403061092228e-05,2.151478295714975e-09,4.6385694343667995e-05,3.2440593413194587e-10,6.465746239232505e-11,5.001298296322649e-11,1.4993862485766307e-11,2.594336148937056e-12
2.5513244323003133e-07,4.795998800367558e-05,2.3001604493127057e-09,4.79606666120926e-05,3.7208265792816535e-10,6.227769978574423e-11,4.8100705253637183e-11,1.3799607675731085e-11,2.412754795785552e-12
2.2306605751175252e-07,4.300464692816478e-05,1.849399657416113e-09,4.30052254485676e-05,2.893237402681035e-10,5.0506553345557e-11,4.284510455712236e-11,1.2634934359971137e-11,2.3490090785381994e-12
2.550324036956367e-07,4.128829184299245e-05,1.7047230433121168e-09,4.1289079486458055e-05,2.549395377590582e-10,4.754375421319752e-11,4.1350199712293714e-11,1.3708903826739711e-11,2.998931179755886e-12
2.5125640364748926e-07,4.651464617130324e-05,2.1636123084415354e-09,4.651532476745604e-05,3.0792294865019294e-10,6.40591281955956e-11,5.832840220144053e-11,2.0189511826058105e-11,2.341867642572664e-12
1.2355120313769253e-07,4.581887851977902e-05,2.0993696288102675e-09,4.581904509819104e-05,3.136608564459844e-10,5.989432674323663e-11,5.148511225265438e-11,1.8525138420588478e-11,2.8286702062995713e-12
1.2973076640504283e-07,4.873229207466207e-05,2.3748362908501715e-09,4.873246475320045e-05,3.60732631886787e-10,6.364530951743144e-11,5.2449137686256524e-11,1.940408485022247e-11,3.277580978926414e-12
-6.131561926514337e-08,4.423670317189174e-05,1.956885907518057e-09,4.423674566605486e-05,2.605620213120791e-10,5.946873156668939e-11,4.6092256141734066e-11,1.9591233941992934e-11,5.345966005607223e-12
